سأخبرك.	I will tell you...
! أنتظر	"Wait!"
! أنتظر	"Wait!"
ليل...	Night...
ليل...	Night...
(سيزار)!	Cesare!
اوصفه	Describe it.
أنت!	Hey!
سم	Poison.
# عندما تتمنى على نجم #	When you wish upon a star
# مهما تكون #	Makes no difference who you are
# إذا كان قلبك على حلمك #	If your heart is in your dream
# لا طلب يكون كبير #	No request is too extreme
# عندما تتمنى على نجم #	When you wish upon a star
# كما يفعل الحالمون #	As dreamers do
# القدر رحيم #	Fate is kind
# يحقق للذين يحبهم #	She brings to those who love
# المخبأة في صدورهم #	Their secret longing
# مثل الطلقة تخرج من المجهول #	Like a bolt out of the blue
جميلة ؟	Pretty, huh?
حسنا ، أنا كنت كذلك	Well, I didn't either.
وكانت ليلة جميلة	It was a beautiful night.
جميلة مثل صورة	Pretty as a picture.
كان من المؤسف رؤية نار مدفئة لطيفة مثل هذه تذهب هباءاً	It was a shame to see a nice cheerful fire like that going to waste.
وماذا أفعل حينها؟	So what do I do?
ومع دقة مجلجلة أدخل	I go in.
نظرت حولي	I looked around.
وعندما لم أجد أحد موجود جعلت البيت بيتي	Soon as I saw there was no one about, I made myself at home.
حسنا، سيدي ، لا يمكن أن تكون قد رأيت مثل هذا المكان	Well, sir, you never saw such a place.
دمية	A puppet!
أنت تعرف ، واحدة من تلك الدمى المتحركة ، بالخيوط والمفاصل	You know, one of those marionette things, all strings and joints.
إنهلطيف.	Cute little fella.
قطعة من الخشب الجيد أيضا	Good piece of wood too.
حسناً ، الآن	Well, now.
لن يستغرق الأمر طويلاً	It won't take much longer.
مجرد بعض الطلاء زيادة ويكون منتهى	Just a little more paint and he's all finished.
جيد للغاية.	Very good.
حسنا ، أنت لا تستطيع إرضاء كل الناس	Well, you can't please everybody.
( بنوكيو )	Pinocchio!
يعجبك يا (فيجرو)	Do you like it, Figaro?
كلا؟	No?
لا يعجبك ، ولا أنت، يا ( كليو )؟	You do, don't you, Cleo?
- هل أحببت ذلك؟	Do you like it?
ذلك يثبته !	That settles it!
هو إذا ( بنوكيو )	Pinocchio it is!
تعال ، الآن ، سنختبرك	Come on, now, we'll try you out.
الموسيقى ، أستاذ	Music, Professor!
# أقدام خشبية لكنها أحسن من الكل #	Little wooden feet and best of all
# بتكون مقعد خشبي حالة ما تسقط #	Little wooden seat in case you fall
أوه ... كمأنترشيق!	How graceful!
ـ (كليو) ، يقابل ( بنوكيو )	Cleo, meet Pinocchio.
قل له " كيف حالك؟ "	Say, "How do you do?"
قل مرحبا لـ (فيجرو)	Say hello to Figaro.
ترى ماذا حدث؟	You see what happens?
‫هيا بنا‬	Up we go!
تعرف يا ( بنوكيو ) أعتقد أن (فيجرو) غيور منك	You know, Pinocchio, I think Figaro is jealous of you.
أتساءل كم الساعة الآن	I wonder what time it is.
إن الوقت متأخر.	It's getting late.
ليلة سعيدة ، ( بنوكيو )	Good night, Pinocchio.
( فيجرو )	Figaro.
أكمل	Go on.
هذه فكرتي عن الراحة	This is my idea of comfort.
الراحة الصلبة	Solid comfort.
سيكون لطيفا لو كان ولد حقيقي؟	Wouldn't it be nice if he was a real boy?
فتى حقيقي	A real boy!
هدوء من فضلك	Quiet!
كفاية جدا	After all, enough's enough.
ماذا يحدث الآن ؟	Now what's up?
‎‫‎ماالذي يجري هنا؟‬	Hey, what's going on here?
جنية ، بشحمها ولحمها	As I live and breathe, a fairy!
يا دمية صغيرة من خشب الصنوبر أصحي	Little puppet made of pine, wake.
عطية الحياة لك	The gift of life is thine.
أنا أستطيع أن أتحرك !	I can move!
أنا أستطيع أن أتكلم	I can talk!
أنا أستطيع أن أمشي	I can walk!
لماذا؟	- Why?
هل أنا ولد حقيقي؟	- Am I a real boy?
هذا لن يكون سهلاً	That won't be easy.
الصح و الخطأ؟	Right and wrong?
لكن كيف لي أن أعرف؟	But how will I know?
‫ - سوف يخبرك ضميرك.	- Your conscience will tell you.
ـ ما هو الضمير؟	- What are conscience?
ـ ما هو الضمير !	- What are conscience!
أنا سأخبر	I'll tell ya!
ـ هل أنت ضميري ؟ ـ من ، أنا ؟	- Are you my conscience?
أنا؟	Who, me?
لا خدع الآن	No tricks now.
قف ، سيد (جيمني كريكت)	Arise, Sir Jiminy Cricket.
الرأي، ذلك انتفاخ جميل	Say, that's pretty swell.
‫يا إلهي... شكراً.	Gee... thanks.
سنرى	- Well, we'll see.
ـ يجب أن لا أتعجب	- I shouldn't wonder.
ـ خليها ذهب ؟	- Make it a gold one?
ربما	Maybe.
حسناً	All right.
اجلس يا ولدي	Sit down, son.
أتفهمون؟	- Understand?
هكذا ؟	Like this?
هكذا ؟	Like this?
ـ لا ، يا بني	No, son.
استمع الآن.	Now, listen.
# عندما تقع بمشكلة ولا تعرف الصح من الخطأ #	When you get in trouble and you don't know right from wrong
# صفـّر صفارة صغيرة #	Give a little whistle
# صفـّر صفارة صغيرة #	Give a little whistle
# عندما يصادفك إغراءا والحافز قوي #	When you meet temptation and the urge is very strong
# صفـّر صفارة صغيرة #	Give a little whistle
# صفـّر صفارة صغيرة #	Give a little whistle
# ليس صريرا ، ضم فمك وأنفخ #	Not just a little squeak Pucker up and blow
# صفـّر صفارة صغيرة #	Give a little whistle
# صفـّر صفارة صغيرة #	Give a little whistle
# وأجعل ضميرك يكون دليلك دائما #	And always let your conscience be your guide
# وأجعل ضميرك يكون دليلك دائما #	And always let your conscience be your guide
ـ من هناك ؟	- Who is there?
