Les diré...	I will tell you...
¡Espere!	"Wait!"
¡Espere!	"Wait!"
Por la noche...	Night...
Por la noche...	Night...
¡Cesare!	Cesare!
Descríbamelo.	Describe it.
¡Oye!	Hey!
Veneno.	Poison.
Cuando deseas ser una estrella	When you wish upon a star
Ves brillar la estrella azul	Makes no difference who you are
Si es muy grande tu ilusión	If your heart is in your dream
Pídela de corazón	No request is too extreme
Cuando deseas ser una estrella	When you wish upon a star
Así escuchar	As dreamers do
Al seguir tu sino	Fate is kind
Volverán	She brings to those who love
De tiempos idos	Their secret longing
En un rayo de ilusión	Like a bolt out of the blue
¿Bonito, eh?	Pretty, huh?
Bueno, yo tampoco creía.	Well, I didn't either.
Era una hermosa noche.	It was a beautiful night.
Tan guapa como siempre.	Pretty as a picture.
Era una pena ver un hogar calentito desperdiciado.	It was a shame to see a nice cheerful fire like that going to waste.
¿Qué hago entonces?	So what do I do?
Yo entraré.	I go in.
Miro todo.	I looked around.
Cuando comprobé que no había nadie, me puse cómodo.	Soon as I saw there was no one about, I made myself at home.
Ay, señor, nunca había visto nada igual.	Well, sir, you never saw such a place.
¡Un muñeco!	A puppet!
Ya saben, una de esas marionetas... llena de hilos y de bisagras.	You know, one of those marionette things, all strings and joints.
Es una monada.	Cute little fella.
Muy buena madera.	Good piece of wood too.
Bueno.	Well, now.
Estamos jugándonos un par de centavos.	It won't take much longer.
Sólo un poco de pintura y estará listo.	Just a little more paint and he's all finished.
Muy bien.	Very good.
Bueno, no puedes satisfacer a todo el mundo.	Well, you can't please everybody.
¡Pinocho!	Pinocchio!
¿No te gusta, Fígaro?	Do you like it, Figaro?
¿No?	No?
¿Sí, o no, Cleo?	You do, don't you, Cleo?
¿Te gusta?	Do you like it?
¡Lo que faltaba!	That settles it!
¡Se llamará Pinocho!	Pinocchio it is!
Vengan, vamos a probarlo.	Come on, now, we'll try you out.
¡Música, maestro!	Music, Professor!
Piecitos de madera, y lo mejor...	Little wooden feet and best of all
La cola es de madera para cuando te caigas	Little wooden seat in case you fall
¡Qué maravilloso!	How graceful!
Cleo, te presento a Pinocho.	Cleo, meet Pinocchio.
Dile, "¿Cómo estás?"	Say, "How do you do?"
Saluda a Fígaro.	Say hello to Figaro.
¿Ves lo que sucede?	You see what happens?
¡Arriba!	Up we go!
Sabes, Pinocho, creo que Fígaro está celoso de ti.	You know, Pinocchio, I think Figaro is jealous of you.
Me pregunto qué hora es.	I wonder what time it is.
Se está haciendo tarde.	It's getting late.
Buenas noches, Pinocho.	Good night, Pinocchio.
- Fígaro.	Figaro.
¡Hale, venga!	Go on.
Esto sí que es cómodo.	This is my idea of comfort.
Muy cómodo.	Solid comfort.
¿No sería maravilloso que fuera un niño de verdad?	Wouldn't it be nice if he was a real boy?
- ¡Un niño de verdad!	A real boy!
-- ¡Silencio!	Quiet!
¡Ya es suficiente!	After all, enough's enough.
¿Y ahora qué sucede?	Now what's up?
¿Qué pasa por ahí?	Hey, what's going on here?
¡Santo cielo, es un hada!	As I live and breathe, a fairy!
Muñequito hecho de pino... Despierta.	Little puppet made of pine, wake.
El don de la vida es tuyo.	The gift of life is thine.
¡Puedo moverme!	I can move!
¡Puedo hablar!	I can talk!
Sé caminar.	I can walk!
¿Por qué?	- Why?
- ¿Y soy un niño de verdad?	- Am I a real boy?
Difícil.	That won't be easy.
¿Correcto e incorrecto?	Right and wrong?
¿Pero, cómo lo haré?	But how will I know?
- Tu conciencia te dirá.	- Your conscience will tell you.
- ¿Qué es conciencia?	- What are conscience?
- ¡Conciencia! ¡Te diré!	- What are conscience!
Está bien. Dios mío.	I'll tell ya!
- ¿Eres mi conciencia?	- Are you my conscience?
¿Quién, yo?	Who, me?
Nada de trucos.	No tricks now.
Levántate, Sr. Pepe Grillo.	Arise, Sir Jiminy Cricket.
Esto es maravilloso.	Say, that's pretty swell.
Gracias... gracias.	Gee... thanks.
- Lo tendré en cuenta.	- Well, we'll see.
- No debería decirte.	- I shouldn't wonder.
- ¿Y es de oro? Tal vez.	- Make it a gold one?
"Quizás."	Maybe.
está bien.	All right.
Siéntate, hijo.	Sit down, son.
- ¿Me has comprendido?	- Understand?
¿Así vestido?	Like this?
¿Así vestido?	Like this?
No hijo.	No, son.
Oh, está bien.	Now, listen.
Cuando te metas en problemas y no distingas el bien del mal	When you get in trouble and you don't know right from wrong
Sólo tienes que silbar	Give a little whistle
Sólo tienes que silbar	Give a little whistle
Cuando sientas que puedes caer en la tentación	When you meet temptation and the urge is very strong
Sólo tienes que silbar	Give a little whistle
Sólo tienes que silbar	Give a little whistle
Que no sea un soplidito Un silbido fuerte	Not just a little squeak Pucker up and blow
Sólo tienes que silbar	Give a little whistle
Sólo tienes que silbar	Give a little whistle
Y siempre tu conciencia escuchar	And always let your conscience be your guide
Y siempre tu conciencia escuchar	And always let your conscience be your guide
- ¿Quién anda ahí?	- Who is there?
Soy yo.	Oh, it's me.
Hay alguien allí.	There's somebody in here.
Sé que anda por aquí.	He's in here somewhere.
- Aqui estou.	Here I am!
Pinocho.	Pinocchio.
¿Cómo llegaste hasta aquí?	How did you get down here?
¿Te has hecho daño?	- I fell down.
Lo hizo.	- Oh, you did.
¡hablas!	You're talking!
Eres gracioso.	Gee, you're funny.
¡Repítelo!	Do it again!
- ¡Una conciencia!	- A conscience!
¿No te gusta? - Sí.	Yeah, cute.
Esto merece celebrarse.	This calls for a celebration.
¡Música!	Music!
¡Que empiece la fiesta, Pinocho!	You start one, Pinocchio.
Caramba.	Oh, boy.
¿Me concede esta pieza?	Mind if I cut in?
Ah, qué bonito.	Ooh, nice.
- Ved!	- Look!
Gente..."	Help!
Muchachito has tenido una noche muy movida.	Little man, you've had a busy night.
Ahora, cierra tus ojos y a dormir.	Now, close your eyes and go to sleep.
¿Por qué?	Why?
¿Por qué?	Why?
¿Por qué?	Why?
- Descuida que yo te ayudaré.	- Because.
Quédate quieto.	Stand still now.
- ¿Qué es eso?	- What are those?
.	- Yes.
Vamos, deprisa.	But hurry now.
¡Hala, vete!	Run along now.
La escuela no es para ti.	School is not for you.
Mentes sedientas en busca de la fuente del conocimiento.	Thirsty little minds rushing to the fountain of knowledge.
La escuela, qué noble institución.	School, a noble institution.
Una cosa como esa debe valer una fortuna.	A thing like that ought to be worth a fortune to someone.
Déjenme ver.	Now let me see.
¡Eso es!	That's it!
- Escucha.	- Listen.
No, no, estúpido.	No, no, stupid.
Está en el bote.	Don't be crude.
Déjame arreglar esto.	Let me handle this.
