Previously on "The Blacklist"...	سابقا في "القائمة السوداء"...
- You want to call your daddy?	-هل ترغبين في الإتصال بوالدك؟
- Yeah, I want to tell him I'm okay.	-نعم، أريد إخباره أنني بخير .
Okay.	حسنا.
Lizzy...	(ليزي)...
Be careful of your husband.	احذري من زوجك.
I can only lead you to the truth.	لا أستطيع سوى توجيهك نحو الحقيقة
I can't make you believe it.	لا أستطيع جعلك تصدقينها.
She's calling herself Jolene Parker.	إنها تسمي نفسها (جولين باركر).
Elizabeth Keen is not your wife, she's your target.	(إيليزابيث كين) ليست زوجتك، إنها هدف مهمتك.
You have been threatening to tell me the truth about my husband since the day we met, and I'm ready to listen.	لقد كنت تهدد بإخباري الحقيقة حول زوجي منذ اليوم الأول الذي التقينا فيه، وأنا مستعدة لسماعك.
Right now, the only thing that matters is the immediate threat...	حاليا، الشيء الوحيد المهم هو التهديد الحالي...
Your husband...	زوجك...
Finding out who he is and who he works for.	معرفة حقيقته ولصالح من يعمل.
The rest will come.	والبقية ستأتي.
I promise you.	أعدك بذلك.
	ما الذي حدث؟
	ما المشكلة؟ ابتعدوا عنها! -مالذي حدث؟
-	هيا
Asset on board. En route.	نحن في الطريق
12 cc epinephrine.	12سم مكعب من الادرينالين
Clear.	الآن
	هيا هيا
- 45 seconds.	بسرعة 45ثانية
-	ابتعد من فضلك -ما المشكلة؟ -توقف .
	انظر، ما هذا؟
-	ما الذي تبحث عنه؟ نعم اخرج
	افتح الباب
We need more adrenaline.	نحتاج المزيد من الأدرينالين.
Cover her mouth.	غط فمها
It's okay. It's okay. It's okay.	لا بأس، لا بأس، لا بأس.
Shh!	صه!
It's okay. You're okay. You're okay.	انت بخير، أنت بخير...
Rest. You'll be in America by morning.	ستكونين في أمريكا بحلول الصباح.
We're taking you to Washington, D.C.	سننقلك إلى العاصمة "واشنطن".
Do you know where the prisoner was transported to?	هل تعلم أين تم نقل السجين؟
Uh, Washington. Okay.	"واشنطن"، حسنا.
Yes, we'll take care of it.	نعم، سنهتم بالأمر.
Very good.	جيد للغاية.
-	"حزب الله" "سيتعين عليهم الإنتظار" "سنعود إلى واشنطن"
Washington?	"واشنظن"؟
Since when did Jolene Parker's case go from missing person to murder investigation?	منذ متى تحولت قضية (جولين باركر) من شخض مجهول إلى تحقيق في جريمة قتل؟
- And have you seen my keys?	-هل رأيت مفاتيحي؟
- It's crazy, right?	-إنه ضرب من الجنون، صحيح؟
Yeah, what, uh...	نعم، ماذا..
What happened?	ماذا حدث؟
The police say they have a person of interest.	تقول الشرطة أن لديهم شخصا ذو أهمية.
Really?	حقا؟
Who is it?	من يكون؟
What do they...	ماذا..
What do they know?	ماذا يعرفون؟
They're not sure.	إنهم ليسوا متأكدين.
Isn't it possible that she just left town like she said?	أليس من المحتمل أنها غادرت المدينة كما قالت؟
Moved to Dayton?	انتقلت إلى "دايتون"؟
They found blood...	لقد وجدوا دما..
Matches hers.	يطابق دمها.
You see this stuff every day...	أنت ترين هذه الأشياء يوميا...
You know, people getting hurt and killed... and...	كما تعلمين، أشخاص يتعرضون للأذى ويتعرضون للقتل.. بينما العكس بالنسبة لي.
I don't. It freaks me out.	إنه أمر يقلقني.
Just the thought of that happening to you, you know...	فقط التفكير بأن ذلك يحدث لك، تعلمين...
Just promise me you're as careful as you can be when you're at work.	عديني فقط أنك حذرة أثناء العمل.
- The desk.	-المكتب .
- Hmm?	-ماذا؟
By the computer...	امام الحاسوب...
That's where I saw your keys.	هنام رأيت مفاتيحك.
Oh. I'm gonna be so late.	سأتأخر.
I'm gonna give myself a tardy slip.	سأمنح نفسي زلة تأخر
Found 'em!	لقد وجدتهم
They were under the newspaper.	لقد كانوا أسفل الصحيفة.
What would I do without you?	ماذا سأفعل من دونك؟
I got to run.	علي الذهاب
Uh, tonight for dinner, let's check out that new thai place.	بالنسبة لعشاء الليلة، دعينا نتفقد ذلك المطعم التايلندي.
He knows something's off.	إنه يعلم أن هناك أمرا ما
What makes you say that?	ما الذي يجعلك تقولين ذلك؟
I can feel it. I know him.	يمكنني أن أشعر بذلك، أنا أعرفه.
Tom is on his heels. He's behaving erratically.	(توم) يشعر باليأس، إنه يتصرف بطريقة متقطعة.
He killed Jolene Parker.	لقد قتل (جولين باركر)
Yes.	نعم
You knew?	هل علمت بذلك؟
Why didn't you tell me?	لماذا لم تخبرني؟
I felt if I told you it would inform your behavior with him.	شعرت أنه لو أخبرتك سيعرف تصرفاتك اتجهاه.
I found her body, called the police, and reported a missing person.	لقد عثرت على الجثة، اتصلت بالشرطة، وبلغت عن شخص مفقود.
I was confident, in the course of their investigation, they would reach out to you and Tom, and they did.	كنت واثقا أنه في سياق تحقيقاتهم سيصلون إليك وإلى (توم)، وقد تمكنوا من ذلك.
Jolene Parker undoubtedly worked for the same organization as Tom...	(جولين باركر) عملت من دون شك لنفس المنظمة التي يعمل بها (توم)
In what capacity, I have no idea.	في أي مهمة، ليست لدي أدنى فكرة.
If they worked together, why would he murder her?	لو كانوا قد عملوا معا، لما عساه يقتلها؟
Perhaps he was ordered to.	ربما أُمر بذلك.
Or perhaps he's just...	أو ربما أنه...
Out of control, irrational...	خارح السيطرة، غير عقلاني..
Paranoid and reactionary.	مريض بالشك أو الرجعية.
He's scrambling for a foothold, and therein lies our opportunity to wait and to watch.	إنه يهرول نحو موطئ قدم وهنا تكمن فرصتنا في الإنتظار والمراقبة.
But Tom is not the reason I'm here.	لكن (توم) ليس سبب وجودي هنا.
I'm afraid there's something quite timely afoot.	أنا خائف أن هناك شيئا سيئا سيحدث
The Pavlovich brothers are back in town.	لقد عاد الإخوة "بافلوفيتش" إلى المدينة.
You're talking about the team from the bridge that grabbed the general's daughter.	أنت تتحدثين عن الفريق من الجسر الذين اختطفوا ابنة الحنرال.
They're an extraction team...	إنهم فريق الاختطاف بالقوة...
Cut their teeth on Milosevic's protective detail during the ethnic cleansing of the Yugoslav wars.	كانوا ضمن فريق الحماية الخاصة لـ(ميلوسيفيتش) إبان حروب التطهير العرقية في "يوغوزلافيا".
We lost six of our men that day.	لقد خسرنا ستة من أعضاء فريقنا يومها
To the best of our knowledge, the Pavlovich brothers have no political agenda.	على حد علمنا، ليس لدى الإخوة "بافلوفيتش" اجندة سياسية.
They specialize in snatch-and-grabs ranging from kidnap and ransom to extracting political dissidents.	هم مختصون في مجال الإستيلاء بين اختطاف وطلب فدية لإستخراح المعرضين السياسيين.
Reddington says he has a contact.	(ريدينغتون) يقول أن لديه اتصال.
A money launderer sourced by the brothers claims they're coming after a Chinese scientist named Xiaoping Li.	غاسل أموال من مصادر الإخوة يدعي أنهم قادمون سعيا وراء عالمة صينية تدعى (شاوبينغ لي).
- What do we know about her?	-ماذا لدينا بشأنها؟
- 18 hours ago, the agency sent an undercover team to extract her from a clandestine labor camp in the Yunnan province.	-منذ 18 ساعة، أرسلت الوكالة فريقا متخفيا لإستخراجها من معسكر عمل سري
- Break her out?	-لتهريبها؟ لمااذا؟
Why? - She's an immunologist...	-إنها متخصصة في علم المناعة ..
Specializes in viral and bacterial diseases.	تحديدا في الأمراض الفيروسية والبكتيرية.
Four months ago, she signaled to one of our assets that she had a willingness to talk about a secret weapons program.	قبل 4 أشهر، أشارت إلى أحد مساعدينا أن لديها استعدادا للحديث بخصوص برنامج سلاح سري.
