אני אגיד לך...	I will tell you...
חכה!	"Wait!"
חכה!	"Wait!"
נייט...	Night...
נייט...	Night...
צ'.. צ'זארה!	Cesare!
תארי אותו.	Describe it.
היי!	Hey!
רעל.	Poison.
"כשתבקש משאלה מכוכב,	When you wish upon a star
"ולא משנה מי אתה...	Makes no difference who you are
"אם לבך נוטה לחלום,	If your heart is in your dream
"אין שאיפה שתהיה גדולה מדי,	No request is too extreme
"כשתבקש משאלה מכוכב,	When you wish upon a star
"כפי שעושים החולמים.	As dreamers do
"הגורל מסביר פנים הוא,	Fate is kind
"לאוהבים הוא מביא...	She brings to those who love
"של כל מאוויי לבם.	Their secret longing
"כמו ברק שהבזיק לפתע,	Like a bolt out of the blue
יפות, נכון.	Pretty, huh?
גם אני לא האמנתי.	Well, I didn't either.
זה היה לילה יפהפה.	It was a beautiful night.
יפה כמו תמונה.	Pretty as a picture.
היה חבל לראות אש נאה כזו מבוזבזת.	It was a shame to see a nice cheerful fire like that going to waste.
אם כן, מה עשיתי?	So what do I do?
אני נכנס.	I go in.
הסתכלתי מסביב.	I looked around.
כשראיתי שאין איש בסביבה, התחלתי להרגיש כמו בבית.	Soon as I saw there was no one about, I made myself at home.
ובכן, מעולם לא ראיתי מקום כזה.	Well, sir, you never saw such a place.
בובה!	A puppet!
אחת מאותן בובות על חוט, כולה חוטים ומפרקים.	You know, one of those marionette things, all strings and joints.
שש? בחור קטן וחמוד.	Cute little fella.
'וגם עץ סוג א.	Good piece of wood too.
ובכן, עכשיו.	Well, now.
זה לא יקח עוד הרבה זמן.	It won't take much longer.
רק עוד קצת צבע, והוא יהיה גמור.	Just a little more paint and he's all finished.
טוב מאוד.	Very good.
ובכן, תמיד יש מישהו שאינו מרוצה.	Well, you can't please everybody.
"פינוקיו"!	Pinocchio!
מוצא חן בעיניך, פיגרו?	Do you like it, Figaro?
לא?	No?
ואת, קליאו?	You do, don't you, Cleo?
אתה אוהב את זה?	Do you like it?
אם כך, סיכמנו.	That settles it!
פינוקיו זה השם!	Pinocchio it is!
בוא, ננסה אותך.	Come on, now, we'll try you out.
פרופסור, מוזיקה!	Music, Professor!
