Previously on "The Blacklist"...	Anteriormente en "The Blacklist"...
- You want to call your daddy?	- ¿Quieres llamar a tu papá?
- Yeah, I want to tell him I'm okay.	- Sí, quiero decirle que estoy bien.
Okay.	Bien.
Lizzy... Be careful of your husband.	Lizzy... ten cuidado con tu esposo.
I can only lead you to the truth.	Solo te puedo dirigir a la verdad.
I can't make you believe it.	No puedo hacer que la creas.
She's calling herself Jolene Parker.	Se hace llamar así misma Jolene Parker.
Elizabeth Keen is not your wife, she's your target.	Elizabeth Keen no es tu esposa, es tu objetivo.
You have been threatening to tell me the truth about my husband since the day we met, and I'm ready to listen.	Has estado amenazándome con contarme la verdad acerca de mi esposo desde el día en que nos conocimos y estoy lista para oírla.
Right now, the only thing that matters is the immediate threat... Your husband...	Ahora mismo, lo único que importa es la amenaza inmediata... tu esposo.
Finding out who he is and who he works for.	Descubriendo quién es y para quién trabaja.
The rest will come.	Lo demás vendrá.
I promise you.	Lo prometo.
	¿Qué sucedió?
	¿Qué ocurre? ¡Aléjate de ella! - ¿Qué sucedió?
-	¡Vamos!
Asset on board. En route.	Activo a bordo, en camino.
12 cc epinephrine.	12 cc de epinefrina.
Clear.	Despejen.
	¡Vamos, vamos!
- 45 seconds.	¡De prisa! 45 segundos.
-	Por favor, váyase. - ¿Qué pasa? - Alto.
	Mira, ¿qué es eso?
-	¿Qué está buscando? Sí. ¡Fuera!
	¡Fuera!
We need more adrenaline.	Necesitamos más adrenalina.
Cover her mouth.	Cubre su boca.
It's okay.	Está bien.
It's okay.	Está bien.
It's okay.	Está bien.
Shh! It's okay.	Está bien.
You're okay.	Estás bien.
You're okay.	Estás bien.
Rest.	Descansa.
You'll be in America by morning.	Estarás en América por la mañana.
We're taking you to Washington, D.C.	Te estamos llevando a Washington, D.C.
Do you know where the prisoner was transported to?	¿Sabes a dónde fue transportado el prisionero?
Uh, Washington.	Washington. Bien.
Okay. Yes, we'll take care of it.	Sí, nos haremos cargo de ello.
Very good.	Muy bien.
-	Hezbollah... tendrán que esperar. Volvemos a Washington.
Washington?	¿Washington?
Since when did Jolene Parker's case go from missing person to murder investigation?	¿Desde cuándo el caso de Jolene Parker pasó de ser una persona desaparecida a una investigación de homicidio?
- And have you seen my keys?	- ¿Has visto mis llaves?
- It's crazy, right?	- Es una locura, ¿cierto?
Yeah, what, uh... What happened?	Sí... ¿qué pasó?
The police say they have a person of interest.	La policía dice que tienen a un sospechoso.
Really?	¿En serio?
Who is it?	¿Quién es?
What do they...	¿Qué...?
What do they know?	¿Qué saben?
They're not sure.	No están seguros.
Isn't it possible that she just left town like she said?	¿No es posible que solo haya abandonado la ciudad, como dijo ella?
Moved to Dayton?	¿Se mudó a Dayton?
They found blood...	Encontraron sangre.
Matches hers.	Concuerda con la de ella.
You see this stuff every day...	Ves diariamente estas cosas...
You know, people getting hurt and killed... and... I don't.	Gente siendo herida y asesinada... y... no lo sé.
It freaks me out.	Me vuelve loco.
Just the thought of that happening to you, you know...	El solo pensar que te suceda algo, ya sabes...
Just promise me you're as careful as you can be when you're at work.	Solo prométeme que serás muy cuidadosa cuando estés en el tabajo.
- The desk. - Hmm?	En el escritorio.
By the computer...	Por el computador.
That's where I saw your keys.	Ahí es donde vi tus llaves.
Oh. I'm gonna be so late.	¡Voy a llegar muy tarde!
I'm gonna give myself a tardy slip.	Voy a ponerme una nota de tardanza.
Found 'em!	¡Las encontré!
They were under the newspaper.	Estaban bajo el periódico.
What would I do without you?	¿Qué haría sin ti?
I got to run.	Tengo que irme.
Uh, tonight for dinner, let's check out that new thai place.	Esta noche para la cena, vamos a echar un vistazo a ese nuevo lugar tailandés.
He knows something's off.	Él sabe que hay algo que no está bien.
What makes you say that?	¿Por qué lo dices?
I can feel it.	Lo puedo sentir.
I know him.	Lo conozco.
Tom is on his heels.	Tom está sobre sus talones.
He's behaving erratically.	Se comporta de forma errática.
He killed Jolene Parker.	Mató a Jolene Parker.
Yes.	Sí.
You knew?	¿Lo sabías?
Why didn't you tell me?	¿Por qué no me lo dijiste?
I felt if I told you it would inform your behavior with him.	Pensé que si te decía, cambiaría tu comportamiento con él.
I found her body, called the police, and reported a missing person.	Encontré su cuerpo, llamé a la policía y la reporté como desaparecida.
I was confident, in the course of their investigation, they would reach out to you and Tom, and they did.	Confiaba que durante la investigación hablarían con Tom y contigo, y lo hicieron.
Jolene Parker undoubtedly worked for the same organization as Tom...	Jolene Parker indudablemente trabajaba para la misma organización que Tom...
In what capacity, I have no idea.	En calidad de qué, no tengo ni idea.
If they worked together, why would he murder her?	Si trabajaban juntos, ¿por qué la asesinó?
Perhaps he was ordered to.	Probablemente se lo ordenaron.
Or perhaps he's just...	O probablemente solo está...
Out of control, irrational...	fuera de control, irracional...
Paranoid and reactionary.	Paranoico y reaccionando.
He's scrambling for a foothold, and therein lies our opportunity to wait and to watch.	Él está luchando por obtener un punto de apoyo y ahí radica nuestra oportunidad para esperar y ver.
But Tom is not the reason I'm here.	Pero Tom no es la razón por la que estoy aquí.
I'm afraid there's something quite timely afoot.	Me temo que no hay algo muy puntual en marcha.
The Pavlovich brothers are back in town.	Los hermanos Pavlovich están de regreso.
You're talking about the team from the bridge that grabbed the general's daughter.	Estamos hablando del grupo en el puente que secuestró a la hija del general.
They're an extraction team... Cut their teeth on Milosevic's protective detail during the ethnic cleansing of the Yugoslav wars.	Son un equipo de extracción... estrenaron con los detalles de protección de Milosevic durante la limpieza étnica de la guerra yugoslava.
We lost six of our men that day.	Perdimos seis hombres ese día.
To the best of our knowledge, the Pavlovich brothers have no political agenda.	Lo que mejor sabemos es que los hermanos Pavlovich no tienen agenda política.
They specialize in snatch-and-grabs ranging from kidnap and ransom to extracting political dissidents.	Se especializan en la mecánica del juego desde secuestro y rescate hasta extraer disidentes políticos.
Reddington says he has a contact.	Reddington dice que tiene un contacto.
A money launderer sourced by the brothers claims they're coming after a Chinese scientist named Xiaoping Li.	Un lavador de dinero procedente de los hermanos dice que persiguen a una científica china llamada Xiaoping Li.
- What do we know about her?	- ¿Qué sabemos de ella?
- 18 hours ago, the agency sent an undercover team to extract her from a clandestine labor camp in the Yunnan province.	- Hace 18 horas la agencia envió un grupo encubierto para extraerla de un campo de trabajo forzado en la provincia de Yunnan.
- Break her out?	- ¿Rescatarla?
Why?	¿Por qué?
- She's an immunologist...	- Es una inmumonóloga...
Specializes in viral and bacterial diseases.	Se especializa en enfermedades virales y bacterianas.
Four months ago, she signaled to one of our assets that she had a willingness to talk about a secret weapons program.	Hace cuatro meses le señaló a uno de nuestros activos que estaba dispuesta a hablar sobre un programa secreto de armas.
A month later, she was jailed for treason.	Un mes después fue encarcelada por traición.
She's scheduled to land at Andrews in an under an hour, and we have a team standing by to escort her to Langley	Está programado para que aterrice en una hora, y tenemos un grupo esperándola para escoltarla a Langley
- for a debriefing.	- para interrogarla.
- We got to assume that the Pavlovich brothers already know the route.	- Tenemos que asumir que los hermanos Pavlovich ya conocen la ruta.
Well, then we'll reroute her.	Bueno, le cambiaremos la ruta nuevamente.
Bring her here.	Tráiganla acá.
Coordinate the adjustment with Langley.	Coordinen el ajuste con Langley.
Echo to tango.	Eco a Tango.
Uh, asset at drop point.	Activo en punto de entrega.
Roger. 30 seconds to rendezvous.	Entendido. Treinta segundos para el encuentro.
- This way.	- Por aquí.
Quickly.	Rápido.
- What's going on?	- ¿Qué sucede?
They said I'd be safe once I arrived.	Dijeron que estaría a salvo una vez que aterrizara.
We have a credible threat you're being targeted.	Tenemos una amenaza contra su vida.
As a precaution, we've altered our route.	Como precaución, cambiamos la ruta.
Get her up to the chopper.	Súbela al helicóptero.
Donald Ressler.	Donald Ressler.
FBI.	FBI.
Where's the asset?	¿Dónde está el activo?
- Ground transport's been arranged.	- Transporte por tierra ha sido arreglado.
- Negative.	- Negativo.
Evac's been compromised.	La evacuación ha sido comprometida.
Moving to beta proto...	Moviendo a protocolo beta...
Call it in.	Repórtalo.
All right.	está bien.
Okay.	De acuerdo.
Copy that.	Entendido.
Anne Arundel county sheriff's department's reporting a downed aircraft burning two miles outside of Crofton.	Anne Arundel del departamento del sheriff del condado reportando una nave derribada incendiándose a tres kilómetros en las afueras de Crofton.
There's no witnesses on the ground.	No hay testigos en el lugar.
We do have units en route.	Tenemos unidades en camino.
It's got to be the dump site	Debe ser el lugar de aterrizaje
- on this chopper.	- de este helicóptero.
- They knew CIA protocol...	- Conocían el protocolo de la CIA...
That if the routes were compromised, they'd send in air support.	Si las rutas estaban comprometidas, enviarían apoyo aéreo.
These guys weren't based domestically.	Estos tipos no son comunes.
They snuck in, and they're gonna sneak out.	Ellos se infiltraron, y se van a escapar.
We should coordinate with homeland, get their faces everywhere.	Deberíamos coordinar con seguridad nacional, poner sus caras en todos lados
Agent Malik, you want to tell me why the director of national intelligence is calling?	Agente Malik, ¿quiere decirme por qué está llamando el director de Inteligencia Nacional?
What don't I know about this case?	¿Qué es lo que no sé sobre este caso?
The program li was working on... It's germ weaponry...	El programa en el que Li estaba trabajando era armamento biológico.
Banned by nearly every nation on Earth.	Prohibido por casi todas las naciones de la Tierra.
It's called Whitefog.	Se llama Niebla Blanca.
Day before she was jailed, Xiaoping Li sent a message indicating that she had access to the designs.	El día antes de su encarcelamiento, Xiaoping Li envió un mensaje indicando que tenía acceso a los diseños.
If she did, and she shared those with us, that would represent the biggest intelligence coup in a decade.	Si los tenía y los hubiera compartido con nosotros, eso significaría el mayor golpe de inteligencia de la década.
A germ-warfare program?	¿Un programa de armamento biológico?
That's why the Chinese can't turn this into an international incident.	Es por esto que los chinos no pueden convertir esto en un incidente internacional.
- Where are you?	- ¿Dónde estás?
- Busy.	- Estoy ocupada.
The brothers... They took Xiaoping Li.	Los hermanos... se llevaron a Xiaoping Li.
How do you know?	¿Cómo lo sabes?
Do you have a lead?	¿Tienes alguna pista?
Something we can...	Algo que podamos...
- Your husband is not in school.	- Tu esposo no está en la escuela.
- Wait. What?	- Espera. ¿Qué?
Where is he?	¿Dónde está?
Meet me at 9th and Constitution.	Veme en la Novena y Constitución.
Reddington says he has a lead on the brothers.	Reddington dice que tiene un pista de los hermanos.
Wants to talk.	Quiere hablar.
Let me know what NTSB says about that downed aircraft.	Hazme saber que dice NTBS acerca de la nave caída.
Called in sick this morning.	Faltó por enfermedad esta mañana.
Returned home briefly before making a stop at the Radford Bank in Adams Morgan.	Volvió a casa brevemente antes de hacer una parada en el banco Radford en Adams Morgan.
He's made three phone calls...	Ha hecho tres llamadas...
All from pay phones.	Todas de teléfonos prepagos.
He's been sitting at that cart for nearly an hour.	Ha estado sentado en ese auto por casi una hora.
I'm sorry, Lizzy.	Lo siento, Lizzy.
Don't be.	No lo sientas.
This must be difficult.	Esto debe ser difícil.
You want to know what's hard?	¿Quieres saber qué es duro?
Sitting here when all I really want to do is get my hands around his throat.	Quedarme sentada aquí cuando todo lo que quiero hacer es poner mis manos en su garganta.
- Shouldn't we follow him?	- ¿No deberíamos seguirlo?
- We are.	- Lo estamos haciendo.
They all work for you.	Todos ellos trabajan para ti.
