Cooper:	COOPER:
Previously on "The Blacklist"...	בעבר על "הרשימה השחורה"...
- You want to call your daddy?	- אתה רוצה לקרוא לאבא שלך?
- Yeah, I want to tell him I'm okay.	- כן, אני רוצה להגיד לו שאני בסדר.
Okay.	אוקיי.
Lizzy...	יזי...
Be careful of your husband.	היזהר של בעלך.
I can only lead you to the truth.	אני יכול רק להוביל לך את האמת.
I can't make you believe it.	אני לא יכול לגרום לך להאמין בו.
She's calling herself Jolene Parker.	היא קוראת לעצמה Jolene פרקר.
Elizabeth Keen is not your wife, she's your target.	אליזבת קין היא לא אשתך, שהיא היעד שלך.
Liz:	ליז:
You have been threatening to tell me the truth about my husband since the day we met, and I'm ready to listen.	אתה כבר מאיים לספר לי את האמת על בעלי מאז אותו היום שנפגשנו, ואני מוכן להקשיב.
Red:	נכון לעכשיו, הדבר היחיד שחשוב הוא האיום המיידי... אדום:
Your husband... Finding out who he is and who he works for.	בעלך... מציאת מי הוא ומי הוא עובד.
The rest will come.	השאר יבוא.
I promise you.	אני מבטיח לך.
[Speaking Mandarin]	(אם כבר מדברים מנדרינית)
[Speaking Mandarin]	(אם כבר מדברים מנדרינית)
[Engine turns over]	(מנוע מתהפך)
[Siren wailing] Asset on board.	(יללות סירנה) נכסים על לוח.
En route.	בדרך.
12 cc epinephrine.	אפינפרין סמ"ק 12.
[Defibrillator beeps] Clear.	(דפיברילטור צפצופים) ברור.
[Wailing continues]	(יללות ממשיכה)
- 45 seconds.	45 שניות.
[Alarm blaring]	(הרועם ALARM)
We need more adrenaline.	אנחנו צריכים יותר אדרנלין.
Cover her mouth.	כסה את הפה שלה.
[Needle pierces] [Gasps]	(מחט חודר) (נשימות)
Man:	MAN:
It's okay.	זה בסדר.
It's okay.	זה בסדר.
It's okay.	זה בסדר.
Shh!	ששש!
It's okay.	זה בסדר.
You're okay.	אתה בסדר.
You're okay.	אתה בסדר.
Rest.	לנוח.
You'll be in America by morning.	אתה תהיה באמריקה עד הבוקר.
We're taking you to Washington, D.C.	אנחנו לוקחים אותך לוושינגטון
Do you know where the prisoner was transported to?	האם אתה יודע איפה האסיר הועבר ל?
Uh, Washington.	אה, וושינגטון.
Okay.	אוקיי.
Yes, we'll take care of it.	כן, אנחנו נדאג לזה.
Very good.	טוב מאוד.
[Cellphone beeps]	(הסלולר צפצופים)
Washington?	וושינגטון?
[Chuckles] [Chuckles]	(מגחך) (מגחך)
Since when did Jolene Parker's case go from missing person to murder investigation?	ממתי המקרה של ג'ולין פרקר ללכת מאדם חסר לרצוח את החקירה?
Tom:	TOM:
- And have you seen my keys?	- ואולי ראית את המפתחות שלי?
- It's crazy, right?	- זה מטורף, נכון?
Yeah, what, uh...	כן, מה, אה...
What happened?	מה קרה?
The police say they have a person of interest.	המשטרה אומרת שהם אדם של עניין.
Really?	באמת?
Who is it?	מי זה?
What do they...	מה הם...
What do they know?	מה הם יודעים?
They're not sure.	הם לא בטוחים.
Isn't it possible that she just left town like she said?	האם זה לא יכול להיות שהיא פשוט עזבה את העיר כמו שהיא אמרה?
Moved to Dayton?	הועבר לדייטון?
They found blood...	הם מצאו דם...
Matches hers.	גפרורים שלה.
You see this stuff every day... You know, people getting hurt and killed... and...	אתה רואה את הדברים האלה כל יום... אתה יודע, אנשים להיפגע והרגו...
I don't.	אני לא.
It freaks me out.	זה פריקים אותי החוצה.
Just the thought of that happening to you, you know... Just promise me you're as careful as you can be when you're at work.	רק המחשבה שזה יקרה לך, אתה יודע... רק תבטיח לי שאתה כזהיר כפי שאתה יכול להיות
- The desk.	- השולחן.
- Hmm?	- הממ?
By the computer...	ידי המחשב...
That's where I saw your keys.	זה מקום שבו ראיתי את המפתחות שלך.
Oh.	אה.
I'm gonna be so late.	אני הולך להיות כל כך מאוחר.
I'm gonna give myself a tardy slip.	אני הולך לתת עצמי תלוש מאוחרת.
