今からそれを話してあげよう	I will tell you...
待て！	"Wait!"
待て！	"Wait!"
夜・・	Night...
ふたたび夜・・	Night...
チェザーレよ！	Cesare!
どんなの？	Describe it.
おい　私は被害者だぞ	Hey!
"毒"	Poison.
輝く星に願いをかければ	When you wish upon a star
どんな人の望みでも	Makes no difference who you are
いつも夢を追う人なら	If your heart is in your dream
どんな祈りも必ず届く	No request is too extreme
輝く星に願いをかければ	When you wish upon a star
心の夢をかなえてくれる	As dreamers do
運命は やさしい女神	Fate is kind
恋する者を訪れて	She brings to those who love
実らせてくれる	Their secret longing
青空をさく稲妻のように	Like a bolt out of the blue
いい歌だ	Pretty, huh?
私は信じています	Well, I didn't either.
すてきな夜で	It was a beautiful night.
まるで絵のようでした	Pretty as a picture.
暖炉の火が いかにも気持ちよさそうです	It was a shame to see a nice cheerful fire like that going to waste.
どうするかな	So what do I do?
入ろう	I go in.
まずは偵察	I looked around.
誰もいない様子で ホッとしました	Soon as I saw there was no one about, I made myself at home.
まるで おとぎの国でした	Well, sir, you never saw such a place.
人形でした	A puppet!
糸で手足を動かす あやつり人形です	You know, one of those marionette things, all strings and joints.
かわいいね	Cute little fella.
いい木だ	Good piece of wood too.
さてと	Well, now.
もうひと息だ	It won't take much longer.
あと少しで完成だ	Just a little more paint and he's all finished.
いいぞ	Very good.
へそ曲がりもいるさ	Well, you can't please everybody.
ピノキオだ	Pinocchio!
どうだ　フィガロ	Do you like it, Figaro?
だめ？	No?
クレオは賛成だね	You do, don't you, Cleo?
どうだ	Do you like it?
決まった	That settles it!
ピノキオだ	Pinocchio it is!
動かしてみよう	Come on, now, we'll try you out.
教授　音楽を	Music, Professor!
小さな木の手足	Little wooden feet and best of all
転んでも平気な体	Little wooden seat in case you fall
よく動く	How graceful!
クレオ　ピノキオだよ	Cleo, meet Pinocchio.
挨拶して	Say, "How do you do?"
フィガロにも	Say hello to Figaro.
ほら ごらん	You see what happens?
おいで	Up we go!
フィガロが やきもちをやいてるぞ	You know, Pinocchio, I think Figaro is jealous of you.
何時かな	I wonder what time it is.
こんな時間か	It's getting late.
おやすみ　ピノキオ	Good night, Pinocchio.
フィガロ	Figaro.
早く	Go on.
私も横になろう	This is my idea of comfort.
快適 快適	Solid comfort.
あれが本当の子供ならな	Wouldn't it be nice if he was a real boy?
本当の子なら	A real boy!
うるさい！	Quiet!
わかれば結構	After all, enough's enough.
今度は何だ	Now what's up?
いったい何事だ	Hey, what's going on here?
なんと妖精だ	As I live and breathe, a fairy!
木のあやつり人形 起きなさい	Little puppet made of pine, wake.
命を授けます	The gift of life is thine.
ぼく 動ける	I can move!
話もできる	I can talk!
それに歩ける	I can walk!
なぜ？	- Why?
ぼく 本物の子供？	- Am I a real boy?
楽じゃない	That won't be easy.
善悪？	Right and wrong?
どうすれば わかるの	But how will I know?
良心に聞くの	- Your conscience will tell you.
良心って？	- What are conscience?
良心も知らないのか	- What are conscience!
教えてやる	I'll tell ya!
君が良心？	- Are you my conscience?
私が？	Who, me?
こうですね	No tricks now.
立って　クリケット卿	Arise, Sir Jiminy Cricket.
こりゃすごい	Say, that's pretty swell.
ピッカピカだ	Gee... thanks.
そのうちね	- Well, we'll see.
そう思うわ	- I shouldn't wonder.
では金のを	- Make it a gold one?
たぶんね	Maybe.
よし	All right.
では掛けて	Sit down, son.
わかる？	- Understand?
こう？	Like this?
こうかな	Like this?
なってない	No, son.
よく聞いて	Now, listen.
困った時は呼びなさい	When you get in trouble and you don't know right from wrong
口笛 吹いて	Give a little whistle
口笛 吹いて	Give a little whistle
誘惑に負けそうになったら	When you meet temptation and the urge is very strong
口笛 吹いて	Give a little whistle
口笛 吹いて	Give a little whistle
口をすぼめて思い切り	Not just a little squeak Pucker up and blow
口笛 吹いて	Give a little whistle
口笛 吹いて	Give a little whistle
いつでも良心が道案内	And always let your conscience be your guide
いつでも良心が道案内	And always let your conscience be your guide
誰だ ぼくだよ	- Who is there?
お前か	Oh, it's me.
誰かいるぞ	There's somebody in here.
どこかにいる	He's in here somewhere.
ここだよ	Here I am!
ピノキオ	Pinocchio.
どうして床に？	How did you get down here?
落ちたの	- I fell down.
そうか	- Oh, you did.
しゃべったぞ	You're talking!
面白かった	Gee, you're funny.
もう一度	Do it again!
良心？	- A conscience!
かわいい	Yeah, cute.
お祝いをしなきゃ	This calls for a celebration.
音楽だ	Music!
お前も押して	You start one, Pinocchio.
パーティだ	Oh, boy.
私にも	Mind if I cut in?
きれいだ	Ooh, nice.
見て　きれい	- Look!
水をくれ	Help!
忙しい夜だった	Little man, you've had a busy night.
さあ もう目をつぶって おやすみ	Now, close your eyes and go to sleep.
なぜ？	Why?
なぜ？	Why?
なぜ？	Why?
それは つまり...	- Because.
少し じっとして	Stand still now.
あの子たちは？	- What are those?
そうだ	- Yes.
急いで	But hurry now.
さあ 行きなさい	Run along now.
お前はいいんだ	School is not for you.
知識の泉へ急ぐ子供だ	Thirsty little minds rushing to the fountain of knowledge.
学校は大事なものだぞ	School, a noble institution.
こりゃ ひと儲けできるぞ	A thing like that ought to be worth a fortune to someone.
どうしたものか	Now let me see.
これだ	That's it!
聞け	- Listen.
だめだ	No, no, stupid.
乱暴するな	Don't be crude.
俺に任せろ	Let me handle this.
来たぞ	Here he comes.
何とも申し訳ない	Oh, I'm terribly sorry.
大丈夫	- I'm all right.
よかった	- Oh, splendid.
見ろ　学者の先生だ	Look, Giddy, a man of letters.
どうぞ	- Here's your book.
学校へ行くの	- I'm going to school.
学校？	School.
なるほど	Ah, yes.
やはり	- No?
名声？	- Fame?
名前は？	- What is your name?
ハイ ディ ドゥル ディ ディー ぼくはスター	Hi diddle dee dee An actor's life for me
ハイ ディ ドゥル ディ デイ 面白おかしく	Hi diddle dee day An actor's life is gay
何だ	- What was that?
どこに	Up where?
怖いことなんか何もない	Why, there's nothing up there to be afraid of.
ここだ	Over here.
やつがそうだ	- Well, that's him.
正直ジョン？	Honest John?
いたいた	Ah, there you are!
何だっけ　そうだ	Now, where were we?
さて世紀のショー　最後の 出し物をお贈りするのは―	Ladies and gentlemen, to conclude the performance of this great show,
だが本当に大丈夫かね	I hope so.
世にもまれな人形　ピノキオ	The one and only Pinocchio!
いい子いい子　頑張れよ	Cute kid.
石ころまでも 笑いかけてくる	I want the world to know Nothing ever worries me
ぼくは自由	There are no strings on me
スターに良心は必要ない	What does an actor want with a conscience anyway?
あの子に何があったんだ	What could have happened to him?
こんな時間までどこに	Where could he be at this hour?
もう一度 捜してみよう	I'd better go out again and look for him.
ブラボー　ピノキオ	- Bravo, Pinocchio!
受けたね	- They like me.
大当たりだよ	You are colossal!
その顔を世界に売ってやる	Your face, she will be on everybody's tongue.
本当に？	- Will she?
こりゃ何だ	What's this?
こいつはお前にやろう かわいい坊や	For you, my little Pinocchio.
ぼくに？	For me?
ありがとう	Gee, thanks!
帰って父さんに見せなきゃ	I'll run right home and tell my father.
帰るだと？	Home?
じゃ また明日	- I'll be back in the morning.
ふざけるな	Going home.
モンテカルロ	Monte Carlo.
いや　いやだ	- No, no!
やるんだ！	- Yes!
ガッポリ稼いでもらうぞ 俺のために	You will make lots of money... for me!
うるさい	Quiet!
いやだ	No! No, wait!
それ行け	Get along there.
このまま消えよう	I'll just go out of his life quietly.
それはないよ	Sure! Why not?
どうした	What's happened?
本当か	Oh, is that so?
私の声？	That's what I said.
型が古いらしい	Must be one of the old models.
開かないの？	You mean, you can't open it?
ああ	Yeah.
もう父さんに会えないね	Guess I'll never see my father again.
鼻をかんで	Come on, blow.
それでいい	Thatta boy.
例の星だ	Hey, that star again!
どう言おう	- What'll I tell her?
正直に言うんだ	- You might tell her the truth.
学校はどうしたの	Pinocchio, why didn't you go to school?
学校？	- School?
正直に言え	- Go ahead, tell her.
行く途中で会ったの	I was going to school 'til I met somebody.
誰に？	- Met somebody?
怖かったでしょ	- Weren't you afraid?
まさか	- No!
本当です	- Yeah!
逃げたの？	- How did you escape?
いいえ	- I didn't.
どうして	What's happened?
ハイ ディドゥル ディ ディー ぼくはスター	Hi diddle dee dee An actor's life for me
ハイ ディドゥル ディ デイ 面白おかしく	Hi diddle dee day An actor's life is gay
いいか	You see--
悪い子供？	- Stupid little boys?
裏切るなよ	- No, sir.
偉いぞ	- You'd better.
いいぞ	Now you're talkin'!
君か	Oh, hello.
まさか	- He did?
絶対おかしい	Bless my soul.
やはりだ	- I knew it!
何も	- Nothing.
アレルギー？	- Allergic?
おもしろ島？	- Pleasure Island?
俺の切符をやろう	I'm giving you my ticket.
どうぞ	- Here.
ハイ ディドゥル ディ ディー 楽しい島	Hi diddle dee dee It's Pleasure Isle for me
やれやれ こりないね	Well, here we go again.
お前は？	What's yours?
ピノキオ	Pinocchio.
ケーキにパイ アイスクリーム	Get your cake, pie, dill pickles and ice cream.
なぜ？	- Why?
下へ行って箱の用意だ	Now get below and get them crates ready.
したい放題すりゃ ロバになるんだ	Give a bad boy enough rope and he'll soon make a jackass of himself.
みんな どこだ	Where is everybody?
ピノキオ	Pinocchio!
どこにいる	Hey, where are you?
ほんと	Yeah!
まったくよ	It sure is!
きくだろ？	Some fun, huh, kid?
ピノキオ！	Pinocchio!
これで本当の子に？	How do you ever expect to be a real boy?
なんてざまだ	Look at yourself.
玉突き	Ow!
下ろせ	Put me down!
何だって	What?
バッタ？	Grasshopper?
親友？	- Your best friend?
結構　好きにしろ	Okay, that settles it.
どこからロバが	Where'd all the donkeys come from?
お前の名前は？	And what's your name?
入れ	In you go!
いい値で売れそうだ	You boys'll bring a nice price.
よし　次だ	All right, next!
アレキサンダー	- Alexander.
うるさい！	- Quiet!
子供か	"Boys"?
ふざけた虫だ	Ha!
良心？	Conscience.
ほんとだ	You sure do!
ロバそっくりだったぜ	Hey, you laugh like a donkey.
俺の声か	Did that come out of me?
母ちゃん	Mama!
間に合うかな	- I hope I'm not too late.
どうしよう	What'll I do?
君もか	Oh, you too!
飛び込め	You gotta jump!
もちろん	Sure.
危機一髪だった	I thought we'd never make it.
家へ帰ろう	Come on, let's get home.
眠ってるんだ	Hey, maybe he's asleep.
ピノキオ　ここへ	Pinoke, come here.
ごらん	Look.
いない	He ain't here.
大丈夫　きっと近くにいるよ	Don't worry, son, he probably hasn't gone far.
手紙だ	- It's a message.
どんな？	- What's it say?
父さんのこと	- It's about your father.
どこなの	- Where is he?
どこへ	Where you going?
捜しに行く	I'm going to find him.
餌になるなら一緒にだ	I may be live bait down there, but I'm with ya.
行くぞ 出発	Come on, let's go.
下の連中　落ちるぞ	Look out below!
道をあけて	Gangway, down there.
またね	Well, so long.
父さん	Father!
ピノキオ　待ってくれ	Hey, Pinoke, wait for me!
父さん	Father!
父さん	Father!
何だよ	Hey, what the--
すごい威力	That got 'em.
父さん	Father!
やあ	Oh, hello.
行くんだ	Break it up now.
何だよ　こら	Hey, what the--
怪物クジラはどこ	Could any of you tell me where to find Monstro?
もう何日も獲物なし	Not a bite for days.
これではわしらも長くない	We can't hold out much longer.
いい子だったのに	He was such a good boy.
やはり だめだ	It's hopeless, Figaro.
取り尽くしたんだ	There isn't a fish left.
やって来たぞ！	Here they come!
箱に入れろ　フィガロ	Keep them in there, Figaro!
待って	Hey!
逃げなきゃ	We got to get out of here!
すごい数だ	Never saw so many!
また１匹	Here's another one!
当分食える	Enough for weeks!
大物だ	Here's a big one.
箱に入れておけよ	Keep them in there, Figaro!
また１匹	- Here's another one.
父さん	Hey, Father!
父さん	- Father!
父さん	- Father!
帽子を	Let me take your hat.
ピノキオ	Pinocchio!
その耳だ	- Those ears!
耳？	- Huh?
何があったんだ	What's happened to you?
こら　やめろ	Hey! Cut it out!
イカダか	- A raft?
だめだめ	No, no, no, no.
いらないよ　出るから	We won't need it.
やっと開いた	Well, it's about time!
とても無理だ	- It won't work!
しっかり こいで	Hang on!
お大事に	Gesundheit.
引き戻される	- We're going back!
やったぞ	We made it!
言った通りだ	I told you he'd be furious!
消えた	- He's gone!
どこに	- Where did he go?
危ない！	Look out!
つかまれ	Hang on!
戻ってくる　早く	He's coming back.
バックして	Let's go back!
危ない	Look out!
跳べ	Jump!
父さん　父さん	Father! Father!
わしの息子	My boy.
勇敢で正直で 思いやりがあれば 本当の子供になれます	Prove yourself brave, truthful and unselfish, and someday you will be a real boy.
父さん	Father!
死んでないよ	No, I'm not.
いや　死んだんだ	Yes, yes, you are.
寝ておいで	Now, lie down.
本物だ	- I'm real.
本物の子供だ	I'm a real boy!
生きてる	You're alive!
お祝いをしなきゃ	This calls for a celebration!
音楽だ　盛大に頼むぞ	Professor, lots of music!
感謝します	Thank you, milady.
何よりのご褒美	He deserved to be a real boy.
私まで	- Well, I'll be!
"公認　良心"	My, my!
起きて！ - あぁ、どうしたね？	Wake up.
- 起きて！	- What now?
森で何が起こってるんだね？ - 起きて！	What's going on around here?
起きて！	- Wake up.
- いよいよなの！	- It's happened.
- 早く！	- Come on.
急いで！ ！	You better hurry up.
さぁ皆さん、よくみて	Well, look.
- まぁ・・・！ ！	- Well.
- うふふ、可愛らしいでしょう？	- Isn't he cute?
おめでとう！	You're to be congratulated.
- おめでとう！	- Yes, congratulations.
- おめでとう！ ！	- Congratulations.
皆さん、どうもありがとう	Thank you very much.
みてみて！	Look.
立ち上がろうとしてる！ ！	He's trying to get up.
大丈夫よ	Thumper.
そうみたいね	Well, he is.
あなたはだぁれ？	Aren't you?
行くよ	Come on.
テンパー　来なさい！	Thumper.
- おはようございます	- Good morning.
ごきげんよう	Goodbye.
おはよう	Good morning.
- 大丈夫！ ？	- What's the matter?
- どうしたの？ 王子様	- What happened?
- 怪我しちゃった？	- Is he hurt?
テンパー！	Thumper.
ほら、起き上がって！	Come on, get up. Get up.
- がんばれ	- Get up.
- がんばれバンビ！	- Try again.
テンパー！	Thumper!
来いよー！	Come on.
王子様ならできるだろー？	You can do it.
こんな感じ	Like this.
とりさん	Bird.
と・り・さ・ん！	Bird.
とりさん！ ！	Bird.
言えたよ！	He talked.
鳥さん！ ？	Bird.
チョウチョさん？	Butterfly?
チョウチョ・・・	Butter...
チョウチョさんだ！	Butterfly.
- そう、とても可愛いんだ	- It's pretty.
可愛い	Pretty.
お花さん！ ？	Flower.
僕の事？	Me?
- 彼は・・・実は・・・	- He's a little...
- どういたしまして	- That's all right.
なかなかいい感じだね？	I don't mind.
可愛い！	Pretty.
まぁ・・・お上手	Gosh.
草地？	Meadow?
- それをどこで聞いたの？	- Where did you hear that?
そうね、彼は正しいわ	Well, he's right.
えぇ、そうね	Perhaps.
だから今は静かにね？	Hush now.
みんな近くにいるの	We're almost there.
- 待って！	- Wait.
ここで待ってて	Wait here.
大丈夫よ！	It's all right.
こっちにおいで！	Come on.
こんにちは！	Hello.
そっちのは美味しいよ！	It's delicious.
これはご馳走なんだ	That's the good stuff.
ティンパー！	Thumper.
はい、ママ？	- Yes, Mama?
あなたのお父さんは 何をあなたに言いましたか？	- What did your father tell you?
なんの事？	About what?
そう、それ！	Oh, that one.
こんにちは、バンビ！	Hello, Bambi.
「こんにちは」って言ったわ！	I said hello.
怖くないでしょう？	You're not afraid, are you?
さぁ、「こんにちは」と言いましょう	Go on, say hello.
こ・・・んにちは	Hello.
怒ったぞ！	You.
そうね？	Yes, I know.
バンビ！	Bambi.
ママ！ ！	Mother.
バンビ！	Bambi.
ママ！	Mother.
こっちに	Come on.
もう大丈夫よ、ここは安全	It's safe now.
ママ、見て！ ！	Mother, look.
- 雪？	- Snow?
- そう	- Yes.
こっちに来いよ！	Come on.
大丈夫だからさー！	It's all right.
ほら、見て！	Look.
こっちに来いよ！	Come on, get up.
早く起きて！	Like this.
起きろー！　"お花さん"！	Wake up.
お花さんはどうして眠ってるの？	What do you want to do that for?
じゃぁ、おやすみ・・・	Well, good night.
大丈夫、そんなに続かないわ	But it won't last forever.
えぇ・・・みんなそうなのよ	Yes, I know.
見て	Look.
バンビ！	Bambi.
早く！ ！	Quick.
早く！ もっと早く！	Faster.
バンビ！ ！	Faster, Bambi.
前を見て！ 振り向かないで！	Don't look back.
走り続けて！	Keep running.
走り続けて！ ！	Keep running.
やったよ	We made it.
うまく・・・・	We...
ママ？	Mother.
ママ！ どこにいるの！ ？	Mother, where are you?
ママは・・・ もうおまえとは一緒にいられないんだ	Your mother can't be with you anymore.
来るんだ	Come.
私の息子よ	My son.
なんだぁ！ ？	Wait.
今度はなんだ！ ？ なんだ！	What now?
ねえ！	Hey.
嫌になるね！	Scat.
もう春は終わりだ！	There.
もう好きにしろ！	Oh, what's the use?
