我要告诉你...	I will tell you...
等等！	"Wait!"
等等！	"Wait!"
夜晚... ...	Night...
夜晚... ...	Night...
切萨雷！	Cesare!
说说看	Describe it.
去厕所走	Hey!
有毒.	Poison.
当你对着星星许愿	When you wish upon a star
你是谁并没有区别	Makes no difference who you are
如果你的心中充满梦想	If your heart is in your dream
没有什么请求 是太过分的	No request is too extreme
当你对着星星许愿	When you wish upon a star
对着星星许愿	As dreamers do
命运是仁慈的	Fate is kind
她带给 那些充满爱意的人们	She brings to those who love
甜蜜感觉	Their secret longing
就同突如而来的霹雳一般	Like a bolt out of the blue
很动听，哦？	Pretty, huh?
你信么？ 是啊，以前我也不信	Well, I didn't either.
那是一个美丽的夜晚	It was a beautiful night.
像画儿一样美丽	Pretty as a picture.
眼睁睁看着那样一块令人愉快的炭火熄灭 实在是太可惜了	It was a shame to see a nice cheerful fire like that going to waste.
所以我该怎么做呢？	So what do I do?
我进了店去	I go in.
环顾四周	I looked around.
很快我发现四下无人 原来我独处一室啦 我尽量保持镇静	Soon as I saw there was no one about, I made myself at home.
先生们，你们可能从未见过 这样的一个地方...	Well, sir, you never saw such a place.
一个木偶	A puppet!
想想看，就是那种牵线木偶 全是线和关节	You know, one of those marionette things, all strings and joints.
可爱的小家伙	Cute little fella.
还是块好木料	Good piece of wood too.
好的，现在	Well, now.
不需要太久啦	It won't take much longer.
只要再上点颜料 他就完工啦	Just a little more paint and he's all finished.
非常好	Very good.
噢，你不能取悦所有的人	Well, you can't please everybody.
皮诺曹！	Pinocchio!
喜欢吗，费加罗？	Do you like it, Figaro?
-真的嗎？	No?
你喜欢的，不是么，克里欧？	You do, don't you, Cleo?
怎么样还满意吗	Do you like it?
就这么定了！	That settles it!
它就叫皮诺曹！	Pinocchio it is!
来吧, 让我们来试试看	Come on, now, we'll try you out.
音乐，乐师！	Music, Professor!
小小木头脚丫 你是最最好的	Little wooden feet and best of all
小小木头屁股 防止你会摔跤	Little wooden seat in case you fall
多优美啊！	How graceful!
克里欧，来见见皮诺曹.	Cleo, meet Pinocchio.
说，"你好？"	Say, "How do you do?"
来跟费加罗打个招呼	Say hello to Figaro.
你看到发生什么了？	You see what happens?
没想到，他对你做了什么	Up we go!
你知道么，皮诺曹 我想费加罗正在吃你的醋	You know, Pinocchio, I think Figaro is jealous of you.
我想知道什么时候了	I wonder what time it is.
已經太晚了.	It's getting late.
晚安，皮诺曹	Good night, Pinocchio.
Figaro.	Figaro.
走吧	Go on.
这就是我认为的舒适生活啊	This is my idea of comfort.
实实在在的舒适	Solid comfort.
如果他是个真正的男孩 那不是太棒了么？	Wouldn't it be nice if he was a real boy?
想想看！ 一个真正的男孩！	A real boy!
老板娘	Quiet!
记住，够了	After all, enough's enough.
现在这又怎么了？	Now what's up?
嗨，这儿怎么了？	Hey, what's going on here?
